Name,Time,Location,Link
HistSoc's Christmas Dinner!,Tuesday at 7 PM – 10 PM,Basement Browns,https://www.facebook.com/events/457918541402471
HunSoc Hits Neon(+circling),"Friday, December 7, 2018 at 8:30 PM – 10:30 PM","Leamington Spa, Warwickshire",https://www.facebook.com/events/255046691854128
IELS Takes Amsterdam!,"Feb 11, 2019 at 12 AM – Feb 14, 2019 at 3 AM UTC+01",Amsterdam,https://www.facebook.com/events/253917592143312
Week 10: Christmas Curry Meal,"Thursday, December 6, 2018 at 7 PM",King Baba's,https://www.facebook.com/events/2281105178837358
Chocolate Fondue Swiss x Italian Speaking Soc *SOLD OUT*,"Thursday, December 6, 2018 at 8 PM – 12 AM","3 Clarendon Square, Leamington Spa, CV32 5, United Kingdom",https://www.facebook.com/events/2224478927840357
KPOP IN PUBLIC PERFORMANCE & RANDOM PLAY DANCE,Tomorrow at 2 PM,piazza,https://www.facebook.com/events/2409264809104002
Sacred Sounds: Midlands Biggest Meditation Event,"Friday, December 7, 2018 at 6:30 PM – 10 PM",31 Granby St,https://www.facebook.com/events/206240383621774
Open Day - UK Firms,Monday at 9 AM – 3 PM,Warwick Law Society,https://www.facebook.com/events/431904500674424
Ashurst First Year Mooting Competition Final,"Wednesday, December 5, 2018 at 8 AM – 8 PM",Ashurst,https://www.facebook.com/events/368631663713345
Allen & Overy Networking Lunch,"Wednesday, December 5, 2018 at 12 PM – 3 PM",Warwick Law Society,https://www.facebook.com/events/488097871699469
Warwick Law Society International Tour - AMSTERDAM,"Feb 14, 2019 at 12 AM – Feb 17, 2019 at 12 AM",Warwick Law Society,https://www.facebook.com/events/2058822137763788
Mind Aware Christmas Meal,Monday at 8 PM – 9:30 PM,Gourmet Burger Kitchen,https://www.facebook.com/events/2220243144962854
Festive fun with Mind Aware,Tuesday at 6 PM – 7:30 PM,R2.41,https://www.facebook.com/events/555988248180627
"Angus, Things and Perfect Socialising","Thursday, December 6, 2018 at 6 PM – 11 PM",Music Theatre Warwick,https://www.facebook.com/events/336600053797776
The Christmas Ball 2018,Today at 7:30 PM – 3 AM,"The Royal Pump Rooms, Leamington Spa",https://www.facebook.com/events/411745449357695
POP! Week 10: Xmas Circle,"Wednesday, December 5, 2018 at 7:30 PM",Bar Fusion,https://www.facebook.com/events/333663930749548
Cinderella 2018,Nov 30 – Dec 1,Avon Drama Studio,https://www.facebook.com/events/255634461800732
PhotoSoc End of Term 1 - Christmas Get Together,"Friday, December 7, 2018 at 5 PM – 9 PM",The Dirty Duck,https://www.facebook.com/events/389142031826624
PhotoSoc TOUR to Marrakesh!,"Mar 18, 2019 at 9 AM – Mar 23, 2019 at 6 PM",Marrakech city,https://www.facebook.com/events/284975355693279
Phys Café: The fate of our solar system,Tuesday at 6 PM,Physics common room,https://www.facebook.com/events/210203203204347
PhysSoc goes to Budapest,Dec 9 at 9 AM – Dec 13 at 8 PM UTC+01,"Budapest, Hungary",https://www.facebook.com/events/499786750522372
Christmas Eve with Polish Society,Today at 7 PM – 11:55 PM,"Grad Deck, University of Warwick",https://www.facebook.com/events/1930299660411074
PolSoc goes to the movies | Warwick Politics Society,Tuesday at 6:50 PM – 9:50 PM,Warwick Politics Society,https://www.facebook.com/events/725774481133448
Postponed: Jess Phillips MP | Warwick Politics Society,"Monday, December 31, 2018 at 6 PM – 7 PM",H0.52,https://www.facebook.com/events/480842448992695
Politics Society tour to Lisbon!,"Mar 17, 2019 at 3 PM – Mar 21, 2019 at 6 PM",Lisbon,https://www.facebook.com/events/325233854735851
WPSS Christmas Dinner,"Thursday, December 6, 2018 at 7:30 PM – 11:30 PM",TBA,https://www.facebook.com/events/325751558222997
Booksale MONEY Collection,Nov 26 – Dec 7,Warwick PPE Society,https://www.facebook.com/events/2650525761631797
PPE on Ice,Monday at 8:15 PM – 10 PM,planet ice Coventry,https://www.facebook.com/events/349925159143281
SOLD OUT - PPE Christmas Dinner,Tuesday at 7 PM – 10:30 PM,Bedford Street,https://www.facebook.com/events/506871106480236
Psychology Christmas Quiz,"Thursday, December 6, 2018 at 6 PM – 9 PM",Fusion Bar Area (Rootes Building),https://www.facebook.com/events/2167501653514893
Term Closing Social,Tuesday at 7:30 PM – 9:30 PM,Varsity Warwick,https://www.facebook.com/events/501375733605315
QuizSoc Quizmas Meal,Tomorrow at 7:30 PM – 9 PM,Zizzi,https://www.facebook.com/events/321835241969958
Santa Paws Volunteering,Today at 10 AM – 4 PM,Pets at Home,https://www.facebook.com/events/2438078319541483
